# 更新时间: 2026-02-18 21:45:51.537449
# 可用代理: 357 个
# 格式: IP:端口 延迟(ms)

150.136.163.51:80 10ms
160.123.255.71:80 16ms
104.16.0.104:80 17ms
173.245.49.119:80 17ms
173.245.49.185:80 18ms
173.245.49.16:80 18ms
172.67.70.35:80 18ms
185.176.24.253:80 18ms
173.245.49.105:80 18ms
173.245.49.91:80 19ms
173.245.49.66:80 19ms
173.245.49.169:80 19ms
185.18.250.232:80 19ms
173.245.49.10:80 19ms
173.245.49.242:80 19ms
173.245.49.173:80 19ms
173.245.49.137:80 19ms
173.245.49.219:80 19ms
173.245.49.225:80 20ms
173.245.49.48:80 20ms
173.245.49.116:80 20ms
173.245.49.231:80 20ms
159.112.235.64:80 20ms
173.245.49.112:80 21ms
173.245.49.163:80 21ms
173.245.49.229:80 21ms
173.245.49.150:80 21ms
185.18.250.83:80 21ms
173.245.49.42:80 21ms
173.245.49.69:80 22ms
173.245.49.102:80 22ms
173.245.49.199:80 22ms
173.245.49.85:80 22ms
173.245.49.160:80 23ms
173.245.49.232:80 23ms
173.245.49.43:80 23ms
173.245.49.161:80 24ms
173.245.49.64:80 24ms
185.18.250.181:80 24ms
173.245.49.50:80 24ms
173.245.49.86:80 25ms
173.245.49.26:80 25ms
173.245.49.122:80 26ms
173.245.49.121:80 29ms
173.245.49.222:80 30ms
104.16.0.201:80 31ms
172.200.72.48:80 33ms
173.245.49.101:80 38ms
68.183.143.134:80 40ms
159.65.230.46:8888 54ms
209.126.6.159:80 57ms
50.203.147.155:80 58ms
50.203.147.157:80 73ms
159.65.221.25:80 87ms
191.101.1.116:80 110ms
12.50.107.221:80 123ms
107.174.231.218:8888 126ms
157.230.220.25:4857 156ms
50.203.147.158:80 166ms
174.138.119.88:80 173ms
116.203.27.109:80 192ms
200.33.20.25:80 194ms
12.50.107.217:80 199ms
38.188.247.12:999 203ms
178.212.144.7:80 211ms
153.19.91.77:80 227ms
12.50.107.219:80 228ms
87.239.31.42:80 240ms
45.59.186.60:80 241ms
192.73.244.36:80 248ms
62.109.19.5:80 256ms
43.130.6.42:80 259ms
23.247.136.254:80 270ms
51.141.175.118:80 275ms
138.197.68.35:4857 276ms
91.98.78.64:80 291ms
154.17.228.122:80 301ms
95.179.242.209:80 306ms
12.50.107.220:80 311ms
52.229.30.3:80 313ms
163.172.167.48:80 341ms
190.242.157.215:8080 342ms
190.5.77.211:80 359ms
186.148.180.46:999 360ms
95.216.230.239:80 360ms
154.17.224.118:80 386ms
65.108.203.35:18080 388ms
103.174.102.127:80 394ms
195.231.69.203:80 396ms
89.58.57.45:80 405ms
45.22.209.157:8888 429ms
